,name,size,price
92,GOOD DAY GRAPEFRUIT SOJU,375 ML (Half),$6.99 
93,GOOD DAY GREEN GRAPE SOJU,375 ML (Half),$6.99 
94,CIROC COCONUT VDK 70,1.75 L (Large),$51.99 
95,GREY GOOSE LE CITRON 80,750 ML (Standard),$27.99 
96,KETEL ONE ORANJE VDK 80,750 ML (Standard),$21.99 
97,CIROC COCONUT VDK 70,750 ML (Standard),$35.99 
98,STOLICHNAYA VODKA 80,750 ML (Standard),$19.99 
99,KETEL ONE CITROEN VDK 80,750 ML (Standard),$21.99 
100,SVEDKA MANGO PINEAPPLE 70,1.75 L (Large),$15.99 
101,NEW AMSTERDAM GRAPEFRUIT VDK 70,750 ML (Standard),$15.49 
102,ABSOLUT GRAPEFRUIT VDK 80,750 ML (Standard),$21.99 
103,DEEP EDDY SWEET TEA VDK 70,750 ML (Standard),$17.99 
104,DEEP EDDY RUBY RED VDK 70,750 ML (Standard),$17.99 
105,LUKSUSOWA VODKA 80,750 ML (Standard),$12.99 
106,SVEDKA RASPBERRY 70,1.75 L (Large),$15.99 
107,SVEDKA MANGO PINEAPPLE 70,750 ML (Standard),$10.99 
108,NEW AMSTERDAM GRAPEFRUIT VDK 70,1.75 L (Large),$23.99 
109,NEW AMSTERDAM WATERMELON VDK 70,750 ML (Standard),$15.49 
110,EFFEN VODKA 80,750 ML (Standard),$22.99 
111,SMIRNOFF FLV PINEAPPLE 70,750 ML (Standard),$14.99 
112,ABSOLUT LIME VDK 80,750 ML (Standard),$21.99 
113,SVEDKA BLUE RASPBERRY 70,750 ML (Standard),$10.99 
114,CIROC PEACH VDK 70,1.75 L (Large),$51.99 
115,CIROC APPLE VDK 70,1.75 L (Large),$51.99 
116,NEW AMSTERDAM GLUTEN FREE VDK 80,1.75 L (Large),$21.99 
117,HAKU VODKA 80,750 ML (Standard),$29.99 
118,NEW AMSTERDAM LEMON VDK 70,1.75 L (Large),$23.99 
119,GREY GOOSE LA POIRE 80,750 ML (Standard),$27.99 
120,GREY GOOSE L'ORANGE 80,750 ML (Standard),$27.99 
121,DEEP EDDY VODKA 80,750 ML (Standard),$17.99 
122,NEW AMSTERDAM PEACH VDK 70,750 ML (Standard),$15.49 
123,STOLI FLV BLUEBERI 70,1.75 L (Large),$29.99 
124,EFFEN BLOOD ORANGE VDK 75,750 ML (Standard),$22.99 
125,GORDONS VODKA 80,1.75 L (Large),$21.99 
126,STOLI FLV VANIL 70,750 ML (Standard),$19.99 
127,CIROC RED BERRY VDK 70,1.75 L (Large),$51.99 
128,NEW AMSTERDAM RASPBERRY VDK 70,1.75 L (Large),$23.99 
129,PLUME & PETAL LEMON 40,Other,$18.99 
130,GRAINGERS ORG VODKA 80,1.75 L (Large),$22.99 
131,STOLI FLV LIME 75,750 ML (Standard),$19.99 
132,CIROC PINEAPPLE VDK 70,1.75 L (Large),$51.99 
133,BURNETTS CITRUS VDK 70,1.75 L (Large),$14.99 
134,DEEP EDDY LIME VDK 70,1.75 L (Large),$22.99 
135,RUSSIAN STND VODKA 80,750 ML (Standard),$16.99 
136,NEW AMSTERDAM LEMON VDK 70,750 ML (Standard),$15.49 
137,BELUGA VODKA 80,750 ML (Standard),$34.99 
138,SKYY INF GEORGIA PEACH VDK 70,750 ML (Standard),$13.99 
139,NEW AMSTERDAM COCONUT VDK 70,750 ML (Standard),$15.49 
140,NEW AMSTERDAM MANGO VDK 70,1.75 L (Large),$23.99 
141,SMIRNOFF FLV PEACH 70,1.75 L (Large),$22.99 
142,STOLI FLV VANIL 70,1.75 L (Large),$29.99 
143,PLUME & PETAL PEACH 40,Other,$18.99 
144,NEW AMSTERDAM VODKA 100,1.75 L (Large),$24.99 
145,NEW AMSTERDAM VODKA 100,750 ML (Standard),$18.99 
146,BLANCHARDS VODKA 80,1.75 L (Large),$11.99 
147,STOLI FLV BLUEBERI 70,750 ML (Standard),$19.99 
148,DEEP EDDY PEACH VDK 70,1.75 L (Large),$22.99 
149,SOBIESKI VODKA 80,750 ML (Standard),$12.99 
150,NEW AMSTERDAM MANGO VDK 70,750 ML (Standard),$15.49 
151,SKYY INF BLOOD ORANGE VDK 70,750 ML (Standard),$13.99 
152,NEW AMSTERDAM RED BERRY VDK 70,750 ML (Standard),$15.49 
153,SKYY INF WILD STRAWBRY VDK 70,750 ML (Standard),$13.99 
154,SMIRNOFF FLV PINEAPPLE 70,1.75 L (Large),$22.99 
155,CROP ORGANIC VODKA 70,750 ML (Standard),$19.99 
156,ABSOLUT APEACH VDK 80,750 ML (Standard),$21.99 
157,EFFEN RASPBERRY VDK 75,750 ML (Standard),$22.99 
158,GREY GOOSE L'ORANGE 80,1.75 L (Large),$49.99 
159,SKYY INF CHERRY VDK 70,750 ML (Standard),$13.99 
160,SVEDKA CUCUMBER LIME 70,1.75 L (Large),$15.99 
161,STOLI FLV RAZBERI 70,750 ML (Standard),$19.99 
162,SVEDKA PEACH 70,1.75 L (Large),$15.99 
163,SMIRNOFF FLV RASPBERRY 70,750 ML (Standard),$14.99 
164,RUBINOFF RASPBERRY VDK 60,1.75 L (Large),$11.99 
165,BERKSHIRE DIST ICE GLEN VODKA 80,750 ML (Standard),$19.99 
166,DEEP EDDY PEACH VDK 70,750 ML (Standard),$17.99 
167,ABSOLUT MANGO VDK 80,750 ML (Standard),$21.99 
168,SKYY INF PINEAPPLE VDK 70,750 ML (Standard),$13.99 
169,CROP LEMON VODKA 70,750 ML (Standard),$19.99 
170,HAMMER & SICKLE VODKA 80,750 ML (Standard),$21.49 
171,SVEDKA ROSE 60,1.75 L (Large),$15.99 
172,CIROC MANGO VDK 70,1.75 L (Large),$51.99 
173,BELVEDERE VODKA 80,750 ML (Standard),$35.99 
174,GREY GOOSE LE CITRON 80,1.75 L (Large),$49.99 
175,NEW AMSTERDAM GLUTEN FREE VDK 80,750 ML (Standard),$15.99 
176,GOOD DAY WATERMELON SOJU,375 ML (Half),$6.99 
177,GOOD DAY MELON SOJU,375 ML (Half),$6.99 
178,SMIRNOFF FLV VANILLA 70,750 ML (Standard),$14.99 
179,STOLI FLV OHRANJ 70,1.75 L (Large),$29.99 
180,NEW AMSTERDAM APPLE VDK 70,750 ML (Standard),$15.49 
181,EFFEN GREEN APPLE VDK 75,750 ML (Standard),$22.99 
182,CROP CUCUMBER VODKA 70,750 ML (Standard),$19.99 
183,BAK'S BISON GRASS VDK 82,750 ML (Standard),$27.99 
184,EXCLUSIV VODKA 80,1.75 L (Large),$19.99 
185,RUBINOFF VODKA 80,1.75 L (Large),$11.99 
186,SMIRNOFF VODKA 80,750 ML (Standard),$14.99 
187,VELO VODKA 80,750 ML (Standard),$21.99 
188,SMIRNOFF FLV PEACH LEMONADE 60,750 ML (Standard),$14.99 
189,TRULY VDK MANGO PINEAPPLE 60,1.75 L (Large),$21.99 
190,TRULY VDK STRAW LEMONADE 60,1.75 L (Large),$21.99 
191,TRULY VDK WILD BERRY 60,1.75 L (Large),$21.99 
192,GRANDTEN WELLHOUSE VDK 80,1.75 L (Large),$24.99 
193,INDUSTRIOUS OSTREIDA VDK 80,750 ML (Standard),$35.99 
194,NIKKA COFFEY VODKA 80,750 ML (Standard),$44.99 
195,OYSTERVILLE VODKA 80,750 ML (Standard),$26.99 
196,NEW AMSTERDAM RASPBERRY VDK 70,750 ML (Standard),$15.49 
197,SMIRNOFF FLV GRN APPLE 70,750 ML (Standard),$14.99 
198,SEA ICE VODKA 80,1 L,$8.99 
199,GRAINGERS ORG VODKA 80,750 ML (Standard),$13.99 
200,NEW AMSTERDAM APPLE VDK 70,1.75 L (Large),$23.99 
201,BURNETTS RASPBERRY VDK 70,1.75 L (Large),$14.99 
202,TRIPLE EIGHT BLUEBERRY VDK 68,750 ML (Standard),$24.99 
203,RUBINOFF RUBY RED VDK 60,1.75 L (Large),$11.99 
204,SMIRNOFF FLV CITRUS 70,750 ML (Standard),$14.99 
205,LEGEND OF KREMLIN 80,750 ML (Standard),$44.99 
206,DEEP EDDY LIME VDK 70,750 ML (Standard),$17.99 
207,KHOR VODKA 80,1.75 L (Large),$23.99 
208,COSSACK VODKA 80,1.75 L (Large),$11.99 
209,TRIPLE EIGHT VODKA 80,750 ML (Standard),$24.99 
210,RUBINOFF PINEAPPLE VDK 60,1.75 L (Large),$11.99 
211,RUBINOFF MANGO VDK 60,1.75 L (Large),$11.99 
212,RUBINOFF PINK LEMONADE VDK 60,1.75 L (Large),$11.99 
213,RUBINOFF BLUEBERRY VDK 60,1.75 L (Large),$11.99 
214,RUBINOFF WATERMELON VDK 60,1.75 L (Large),$11.99 
215,THREE OLIVES PEACH VDK 70,1 L,$11.99 
216,THREE OLIVES GRAPEFRUIT VDK 70,1 L,$11.99 
217,RUBINOFF CITRUS VDK 60,1.75 L (Large),$11.99 
218,RUBINOFF PEACH VDK 60,1.75 L (Large),$11.99 
219,RUBINOFF LEMONADE VDK 60,1.75 L (Large),$11.99 
220,RUBINOFF BLUE RASPBERRY VDK 60,1.75 L (Large),$11.99 
221,RUBINOFF GREEN APPLE VDK 60,1.75 L (Large),$11.99 
222,BULLY BOY VODKA 80,750 ML (Standard),$28.99 
223,CRYSTAL HEAD VODKA 80,750 ML (Standard),$49.99 
224,BLACK INF FIG VDK 60,750 ML (Standard),$31.99 
225,STATESIDE VODKA 80,750 ML (Standard),$27.99 
226,TRIPLE EIGHT ORANGE VDK 76,750 ML (Standard),$24.99 
227,NUE VODKA 80,750 ML (Standard),$13.49 
228,THREE OLIVES WATERMELON VDK 70,1 L,$11.99 
229,SKYY INF RASP VDK 70,750 ML (Standard),$13.99 
230,SMIRNOFF VODKA 100,750 ML (Standard),$24.99 
231,GORDONS VODKA 80,750 ML (Standard),$14.49 
