,name,size,price,proof,type
75,CANADIAN CLUB 80,750 ML (Standard),$12.99 ,80,Whiskey
76,KNAPPOGUE 12 YR SGL MLT IRISH 80,750 ML (Standard),$49.99 ,80,Whiskey
77,MIDLETON VERY RARE IRISH 80,750 ML (Standard),$219.99 ,80,Whiskey
78,BLACKENED WHISKEY 90,750 ML (Standard),$49.99 ,90,Whiskey
79,SAGAMORE SPIRIT RYE 83,750 ML (Standard),$39.99 ,83,Whiskey
80,SEAGRAMS 7 80,750 ML (Standard),$16.99 ,80,Whiskey
81,KILBEGGAN SNGL GRAIN 86,750 ML (Standard),$32.99 ,86,Whiskey
82,SONS OF ERIN IRISH WSKY 92,750 ML (Standard),$35.99 ,92,Whiskey
83,HIGH WEST CAMP FIRE 92,750 ML (Standard),$79.99 ,92,Whiskey
84,BIRD DOG BLACKBERRY WSKY 80,750 ML (Standard),$17.99 ,80,Whiskey
85,THE SEXTON SINGLE MALT 80,750 ML (Standard),$35.99 ,80,Whiskey
86,RUSSELLS RES 6 YR RYE 90,750 ML (Standard),$42.99 ,90,Whiskey
87,HIGH WEST RENDEZVOUS RYE 92,750 ML (Standard),$79.99 ,92,Whiskey
88,REDWOOD LOST MONARCH 90,750 ML (Standard),$35.99 ,90,Whiskey
89,SOUTHERN COMFORT 70,200 ML,$6.99 ,70,Whiskey
90,KILBEGGAN IRISH WHSKY 80,750 ML (Standard),$29.99 ,80,Whiskey
91,CANADIAN CLUB RYE 80,750 ML (Standard),$21.99 ,80,Whiskey
92,TEELING SINGLE GRAIN 92,750 ML (Standard),$44.99 ,92,Whiskey
93,GEORGE DICKEL BIB 100,750 ML (Standard),$42.99 ,100,Whiskey
94,TULLAMORE DEW CIDER CASK 80,750 ML (Standard),$29.99 ,80,Whiskey
95,OLD THOMPSON 80,1 L,$11.49 ,80,Whiskey
96,BIRD DOG APPLE WSKY 80,750 ML (Standard),$17.99 ,80,Whiskey
97,JAMESON 80,750 ML (Standard),$37.99 ,80,Whiskey
98,KAIYO WHISKY 86,750 ML (Standard),$71.99 ,86,Whiskey
99,THE IRISHMAN SMALL BATCH 80,750 ML (Standard),$36.99 ,80,Whiskey
100,GLENDALOUGH POT STILL 86,750 ML (Standard),$52.99 ,86,Whiskey
101,WEST CORK IRISH BRBN CSK 80,750 ML (Standard),$23.99 ,80,Whiskey
102,HUDSON RYE THING 92,750 ML (Standard),$37.99 ,92,Whiskey
103,REDWOOD EMERALD GIANT 90,750 ML (Standard),$35.99 ,90,Whiskey
